iter	RMSE
254	0.8278075499
255	0.8270472173
256	0.8257769271
257	0.8242728622
258	0.8233083537
259	0.8220925885
260	0.8211055939
261	0.8194812618
262	0.8179998315
263	0.8176227992
264	0.8166879545
265	0.8160408784
266	0.8150161906
267	0.8142827152
268	0.8130819121
269	0.8117816566
270	0.8097499953
271	0.8084717257
272	0.8075917008
273	0.806143875
274	0.8056112582
275	0.8047324292
276	0.8038578091
277	0.8027176338
278	0.8017853781
279	0.8005127414
280	0.7997447733
281	0.7985931587
282	0.7975941738
283	0.7968975085
284	0.7955304758
285	0.7945958616
286	0.7932917783
287	0.7922495843
288	0.7917854253
289	0.7904494938
290	0.7892221831
291	0.7884579373
292	0.78717761
293	0.7864013654
294	0.7853302252
295	0.7841951603
296	0.7831328594
297	0.78238962
298	0.7813554803
299	0.7805743318
300	0.7799232617
301	0.7785341577
302	0.7778364385
303	0.7765652737
304	0.7756407745
305	0.7746673491
306	0.7738544276
307	0.7732815065
308	0.7721842436
309	0.7710904559
310	0.7698314632
311	0.7690187998
312	0.7682822501
313	0.7677996761
314	0.7668831147
315	0.7663691373
316	0.7651281475
317	0.7639483422
318	0.7630070756
319	0.7622377472
320	0.76165797
321	0.7608042866
322	0.7596524243
323	0.7590398368
324	0.7580917434
325	0.7569997413
326	0.756196798
327	0.7551963275
328	0.7543512069
329	0.7534209524
330	0.752672617
331	0.7517195516
332	0.7514086896
333	0.7506832476
334	0.7497218381
335	0.7489444112
336	0.7481069307
337	0.7471553794
338	0.7461244293
339	0.7453049596
340	0.7446469176
341	0.7439563123
342	0.7431528974
343	0.742443762
344	0.7416465639
345	0.7410154266
346	0.7403984819
347	0.739473859
348	0.738739273
349	0.7375547486
350	0.7368249897
351	0.7360977145
352	0.7352273486
353	0.7346904544
354	0.7336959781
355	0.7330822908
356	0.7320229822
357	0.7317589174
358	0.731135161
359	0.7301592154
360	0.7296143329
361	0.7288456723
362	0.7282455664
363	0.7276179488
364	0.7268613121
365	0.7263475903
366	0.7254699385
367	0.7244883115
368	0.7237096599
369	0.7227283286
370	0.7218389151
371	0.721056402
372	0.7205522869
373	0.7194677205
374	0.7189726
375	0.7179676234
376	0.7171525407
377	0.7165707916
378	0.7158066014
379	0.7152446125
380	0.7145886476
381	0.7140362538
382	0.713437185
383	0.7125088408
384	0.7115377288
385	0.711162934
386	0.7104646629
387	0.7096555319
388	0.7088541765
389	0.708267923
390	0.7071353103
391	0.706502702
392	0.705892588
393	0.7051189985
394	0.7043732273
395	0.7034251979
396	0.7027238103
397	0.7020092027
398	0.7015186941
399	0.7009494284
400	0.7002562024
401	0.6996370903
402	0.6991349875
403	0.698361082
404	0.697914089
405	0.6971567087
406	0.6965182196
407	0.6957483577
408	0.6952689031
409	0.6944423777
410	0.6935635906
411	0.6925552594
412	0.6921676153
413	0.6916344823
414	0.6911567611
415	0.6905011154
416	0.6899937081
417	0.6896123406
418	0.689380937
419	0.6889348352
420	0.6883121153
421	0.6878724187
422	0.6871751928
423	0.6865625958
424	0.685889527
425	0.6854568818
426	0.6847234307
427	0.6841979701
428	0.6834739304
429	0.6829597054
430	0.6822232728
431	0.6818504233
432	0.6811175799
433	0.6805250021
434	0.6798552125
435	0.67936864
436	0.6788823615
437	0.6784769742
438	0.6779479139
439	0.6774475303
440	0.6769851982
441	0.6765597968
442	0.6757737616
443	0.6751682478
444	0.6744386266
445	0.6739904215
446	0.6737235578
447	0.6732211126
448	0.672524449
449	0.6721510444
450	0.6716346024
451	0.671221377
452	0.6708580082
453	0.6703900109
454	0.6697984126
455	0.6692169697
456	0.6688194805
457	0.6683048864
458	0.6678561475
459	0.6674613607
460	0.6670346212
461	0.666201978
462	0.6655492701
463	0.6649221064
464	0.6639949123
465	0.6634594228
466	0.6628054277
467	0.6623309562
468	0.6620236884
469	0.661199124
470	0.6606626138
471	0.6602589391
472	0.6598239096
473	0.6593282919
474	0.6589582561
475	0.658548
476	0.6580338437
477	0.6577844562
478	0.6574819042
479	0.6571451819
480	0.6566407341
481	0.6559740369
482	0.6555711096
483	0.654999315
484	0.6543638606
485	0.6536902826
486	0.6531357141
487	0.6527386975
488	0.6522831516
489	0.651820893
490	0.651384181
491	0.6508716289
492	0.6505261854
493	0.6501304738
494	0.6496745505
495	0.6493192307
496	0.648923303
497	0.6484275993
498	0.6481917717
499	0.6474627908
500	0.6467937745
501	0.6459869171
502	0.6454158529
503	0.6450917473
504	0.6448453629
505	0.6442661533
506	0.6438123141
507	0.6435681867
508	0.6432192116
509	0.6427574421
510	0.6423821536
511	0.6419828689
512	0.6412838363
513	0.6408064753
514	0.6404713931
515	0.6402597279
516	0.6399323661
517	0.6395091667
518	0.638878185
519	0.6384678121
520	0.638116792
521	0.6376181917
522	0.6372771821
523	0.6368958243
524	0.6365903
525	0.6361616894
526	0.6356163792
527	0.6353442395
528	0.6347543612
529	0.6343984085
530	0.6340166181
531	0.6332441354
532	0.632968073
533	0.6324865302
534	0.6320081971
535	0.6316981874
536	0.6310427267
537	0.6307203964
538	0.6302434177
539	0.629678021
540	0.6291528089
541	0.6287749104
542	0.6282485564
543	0.6278848955
544	0.6275606245
545	0.6272695922
546	0.6268728036
547	0.6266186779
548	0.6263208133
549	0.6259261539
550	0.6255662387
551	0.6252481243
552	0.6249788255
553	0.6245069822
554	0.6241081501
555	0.6238021907
556	0.6232362808
557	0.6230640814
558	0.6224347857
559	0.6219505576
560	0.6216887928
561	0.6212393285
562	0.6207653045
563	0.6203787782
564	0.6199698464
565	0.6194558776
566	0.6192800027
567	0.6187338479
568	0.618351896
569	0.6180632066
570	0.6175009458
571	0.6172035401
572	0.6169650388
573	0.6166433511
574	0.6161419389
575	0.6160271689
576	0.6156705993
577	0.6153392856
578	0.6147341337
579	0.6144666335
580	0.6143214023
581	0.613814122
582	0.6134889505
583	0.6130992383
584	0.6127907158
585	0.6123791721
586	0.61175619
587	0.6113320582
588	0.6110560627
589	0.6108353911
590	0.6104506499
591	0.6097889382
592	0.6094667631
593	0.609123781
594	0.6089632718
595	0.6085484026
596	0.608212256
597	0.6077097494
598	0.6073004268
599	0.6070278431
600	0.6066910603
601	0.6064772593
602	0.6063962257
603	0.6061198591
604	0.6059364653
605	0.6055578685
606	0.6053743312
607	0.6049552523
608	0.6046816546
609	0.6042659333
610	0.6038979408
611	0.6035495499
612	0.6032971603
613	0.6030632333
614	0.6028792343
615	0.6027441675
616	0.6026240353
617	0.6022224226
618	0.6019706094
619	0.6017807587
620	0.6016955928
621	0.6013548065
622	0.600998526
623	0.6006806965
624	0.6002814104
625	0.5998117918
626	0.5995346027
627	0.5992985371
628	0.5988132763
629	0.5984320564
630	0.5980888046
631	0.5979427714
632	0.5977758464
633	0.5976505276
634	0.597531465
635	0.5971823504
636	0.5969686355
637	0.5966139281
638	0.5962601177
639	0.5959657149
640	0.5956114069
641	0.5952955952
642	0.5949192626
643	0.5944673218
644	0.5941169018
645	0.5939409597
646	0.5935239074
647	0.5931763013
648	0.5927424417
649	0.5925790139
650	0.5923694175
651	0.5920062372
652	0.5917083733
653	0.5912947963
654	0.5907768157
655	0.5905740835
656	0.5903661426
657	0.5901444102
658	0.5898600465
659	0.5894460564
660	0.5892968872
661	0.5890640882
662	0.588571312
663	0.5884690167
664	0.5880316537
665	0.5875811643
666	0.5873148111
667	0.5870964963
668	0.5868927078
669	0.5866616432
670	0.5864889827
671	0.586321172
672	0.5859960328
673	0.585763991
674	0.5855737219
675	0.5853347095
676	0.5850961003
677	0.5847337363
678	0.5843703453
679	0.5838462799
680	0.5835329735
681	0.5833565076
682	0.5829998429
683	0.5828016714
684	0.5825306984
685	0.582224293
686	0.5819486957
687	0.5816619945
688	0.5812804159
689	0.5811746015
690	0.5809313516
691	0.5807890366
692	0.5804676581
693	0.5802825641
694	0.5798803903
695	0.5797010476
696	0.579424307
697	0.5792087572
698	0.5789260851
699	0.5786324336
700	0.5782320958
701	0.5779083584
702	0.5775723568
703	0.5774116567
704	0.5771346236
705	0.5768678074
706	0.5766911877
707	0.5764818322
708	0.5763188491
709	0.5762353605
710	0.576012024
711	0.5757986862
712	0.5756626121
713	0.5755912797
714	0.5752217633
715	0.5749110635
716	0.5744624987
717	0.5742686206
718	0.574042349
719	0.5737599749
720	0.5735418362
721	0.5733698373
722	0.5730102518
723	0.5726778882
724	0.5724852173
725	0.5723576972
726	0.5720461776
727	0.5716817942
728	0.5712476726
729	0.570872061
730	0.5704932312
731	0.5703468578
732	0.5701382652
733	0.5699429835
734	0.5695684344
735	0.5691766027
736	0.5691065245
737	0.5688629696
738	0.5685484551
739	0.5681901851
740	0.5675941348
741	0.5674853036
742	0.5673362182
743	0.5670922882
744	0.5668921473
745	0.5667432686
746	0.5666881246
747	0.5665193502
748	0.5663158682
749	0.5660316475
750	0.5659237035
751	0.5656819294
752	0.5654517285
753	0.5653645255
754	0.5650013042
755	0.5647013992
756	0.5646337531
757	0.5642260832
758	0.5639533788
759	0.5636919468
760	0.5635026445
761	0.5631768476
762	0.5627987514
763	0.5625712457
764	0.5623290018
765	0.5622233454
766	0.5619655824
767	0.5617737063
768	0.5615734976
769	0.5612743153
770	0.5611951771
771	0.5608932558
772	0.5605628766
773	0.560277984
774	0.5599318635
775	0.5597611963
776	0.5594511129
777	0.5593041871
778	0.5591787206
779	0.5587544983
780	0.5586307351
781	0.5584814188
782	0.5583091657
783	0.5581100692
784	0.5578252732
785	0.5575829482
786	0.5575106807
787	0.5573072921
788	0.5571350424
789	0.5568445758
790	0.5566780332
791	0.5565515456
792	0.5562670591
793	0.556113729
794	0.5559217702
795	0.5556967935
796	0.555590185
797	0.5554299952
798	0.55522035
799	0.5550209995
800	0.5549079491
801	0.5548277224
802	0.5546820977
803	0.5543306858
804	0.5540554209
805	0.5537160945
806	0.5534699892
807	0.5533862221
808	0.5531110829
809	0.5529636309
810	0.5526843322
811	0.5525134537
812	0.5523566668
813	0.5522297585
814	0.5520501825
815	0.5518690911
816	0.5515952959
817	0.5514667665
818	0.5512101471
819	0.5509809788
820	0.5507487444
821	0.5505063305
822	0.550323588
823	0.5501876482
824	0.5499268584
825	0.5496273203
826	0.5493947141
827	0.5492073773
828	0.549001012
829	0.5488586864
830	0.5487462102
831	0.5484353808
832	0.548248461
833	0.5479977054
834	0.547876154
835	0.547622958
836	0.5474860266
837	0.5473695355
838	0.5473046603
839	0.5472029352
840	0.546976822
841	0.5468820904
842	0.5467988964
843	0.5465270799
844	0.5462664324
845	0.5459690839
846	0.5457618588
847	0.5455768489
848	0.5453744926
849	0.5449727917
850	0.5448424602
851	0.5446925136
852	0.5445455989
853	0.5443365691
854	0.5441339256
855	0.5439105475
856	0.5437695344
857	0.5435730076
858	0.5434890074
859	0.5432998253
860	0.543209765
861	0.5429926987
862	0.5429275752
863	0.5427831576
864	0.542416272
865	0.5423041539
866	0.5421533614
867	0.5418118073
868	0.5417536548
869	0.5415642616
870	0.541363562
871	0.5412604373
872	0.5409221797
873	0.5407996395
874	0.5405630173
875	0.5401892865
876	0.5400372772
877	0.5397270489
878	0.5394539402
879	0.5392289465
880	0.5390904342
881	0.5389963745
882	0.5388200333
883	0.5386431506
884	0.5385093042
885	0.5382900066
886	0.5380895652
887	0.5380055919
888	0.5377318786
889	0.5375406913
890	0.5374349637
891	0.5373243869
892	0.5371134449
893	0.5368694379
894	0.5366922101
895	0.5366058349
896	0.5365540264
897	0.5363489636
898	0.5361038401
899	0.5358311699
900	0.5357043399
901	0.5355560495
902	0.5353458445
903	0.5351608044
904	0.5350396067
905	0.534974612
906	0.5347022337
907	0.5344612654
908	0.534411744
909	0.5343096618
910	0.5341321819
911	0.5338248784
912	0.5337862437
913	0.5335709595
914	0.5334366806
915	0.5332292426
916	0.5329682354
917	0.5328861287
918	0.5327782557
919	0.5326976535
920	0.5325896055
921	0.5324457248
922	0.5322703401
923	0.5320980011
924	0.5319864158
925	0.5317020129
926	0.5314298359
927	0.5312417776
928	0.5311009877
929	0.5309629277
930	0.5309068309
931	0.5307676121
932	0.5306930227
933	0.5305596648
934	0.5304214886
935	0.5301622977
936	0.5300153949
937	0.529870941
938	0.5296234924
939	0.5293813427
940	0.5292710097
941	0.5290121422
942	0.5288770146
943	0.528700284
944	0.5285385375
945	0.5284374394
946	0.528352404
947	0.5281880082
948	0.5280620367
949	0.5279006486
950	0.5277461985
951	0.5276170916
952	0.5275396339
953	0.5274465859
954	0.5272948636
955	0.5271246134
956	0.5269273109
957	0.5266892853
958	0.5264456209
959	0.526250914
960	0.5260546224
961	0.5259393246
962	0.5258728591
963	0.5257291232
964	0.5256051086
965	0.5255337285
966	0.5252134112
967	0.5250992028
968	0.5250416947
969	0.5248352676
970	0.524630701
971	0.5243833425
972	0.5242397927
973	0.524150423
974	0.5239979624
975	0.5239178747
976	0.523816796
977	0.5236903191
978	0.5235134307
979	0.5232916752
980	0.5231495242
981	0.5229428378
982	0.5228237515
983	0.5226729522
984	0.5226214771
985	0.5223923159
986	0.522221403
987	0.5219912987
988	0.5218172401
989	0.5216785085
990	0.5215654967
991	0.5214732226
992	0.5212171264
993	0.520994656
994	0.5208257753
995	0.5206217809
996	0.5205685519
997	0.5204617224
998	0.5202878385
999	0.5201474275
